0	Se trata de ...
1	Enhorabuena
2	... huele a ...
3	Excepto
4	Hacia
149	Humido
150	Com칰n
151	Genial
152	Oscuro
154	Temprano
155	Seco
156	Cerca
157	Lejo
158	Hueco
159	Pesado
160	Calvo
161	Pegajoso
162	Grosero
163	Enfadado
164	Entero
165	Lleno
166	Vac칤o
167	Gracioso
168	Devastador
169	Agotado
170	Da침ado
171	Ligero
172	Experimentado
173	Elegante
174	Blando
175	F칤sico
176	Autosostenible
177	Rocoso
178	Amplio
179	츼spero
180	Aconsejable
181	Sabroso
182	Asombroso
183	Temporal
184	Gal치n / galante
185	Permanente
186	Sencillo
187	Enorme
188	Imborrable
189	Travieso
190	Jugoso
191	Empapado
192	Mojado
193	Liso
194	Afilado
195	Vencido
196	Estrecho
197	Popular 游쀯릖
198	Aleda침os
199	Rojo
200	Amarillo
202	Marr칩n
203	Morado
204	Rosa
205	Negro
206	Blanco
207	Verde
208	Naranja
209	Ya no
210	Graso
211	Caducifolio
212	Apenas
213	Reci칠n
214	Entre
215	Dentro de
216	Encima
217	Actualmente
218	Simplemente
219	Enteramente
220	Desafortunadamente
221	Temporalmente
222	Tr치s
223	Atr치s
224	Detr치s de ...
225	Apenas
226	Aproximadamente
227	Frondoso
228	De repente
229	El sudor
230	El traje
231	El conjunto
232	La lata
233	Alrededor de ...
234	A lo mejor
235	Aunque
236	Cualquier
237	Estar a punto de ...
238	A principios
239	A prop칩sito
240	A partir de ahora
241	De todos modos
242	A trav칠s de
243	En cualquier caso
244	Buen provecho
245	Para ser honesto, ...
246	Por lo dem치s
247	Incluso ... (incluso hay ..., incluso si ...)
248	Estar borde
249	El anterior ...
250	Aparte lo de antes
251	De la misma onda
252	... tiene que ver con ...
253	Mantener a raya
254	A sus anchas
255	A gusto
256	Ni siquiera
257	A menos que ...
258	... hace falta
259	A corto plazo
260	A medio plazo
261	A largo plazo
262	Al final
263	Merecer la pena
264	La seta
265	El higo
266	La albahaca
267	La paja
268	El cuero
269	La arcilla
288	La inundaci칩n
289	La vergu칢nza
290	El romero
291	La rama
292	El tronco
293	La huella
294	El tr칠bol
295	El vergel
296	La inundaci칩n
297	El para칤so
298	La sombra
299	El barro
300	Pastar
301	Madurar
302	El suelo
303	El ejemplo
304	El coraz칩n
305	La suerte
306	El morador
307	La cobertura
308	La internet
309	El ordenador
310	La televisi칩n / TV
311	La estacion de radio
312	La radio
313	El canal de youtube
314	El salario
315	El coste
316	El inversor
317	La empresa emergente
318	El software
319	La inteligencia artificial
320	El camino
321	La autov칤a
322	El seguro
323	El bast칩n de senderismo
324	El agujero (grande, por ejemplo, en el suelo)
325	El hueco (peque침o, por ejemplo, en un neum치tico)
326	La lesi칩n
327	La parte de atr치s
328	La calavera
329	La tienda
330	El saco de dormir
331	La tienda
332	La mesa
333	El juego de sobremesa
334	La estufa (para cocinar)
335	La estufa de le침a
337	La ventana
338	La puerta
339	El siglo
340	Una baraja de cartas
341	El cuadrado
342	El disco duro
343	La axila
344	La mentira
345	El mechero
346	El sigarillo
347	El pared
348	El logro
349	El paraguas
350	La arena
351	El cuchillo
352	El matrimonio
353	El caj칩n
354	El espejo
355	El cuerpo
356	El bol칤grafo
357	El l치piz
358	La estanteria
359	Las gafas
360	El alambre
361	El molar
362	La caja
363	La caja
364	El ladrillo
365	El vidrio
366	El tonto
367	La nave
368	La tripulaci칩n
369	El miembro
370	La gravedad
371	La habilidad
372	La destreza
373	La cifra
374	El n칰mero
375	La cima
376	El anuncio
377	La publicidad
378	El olor
379	La venta
380	El viento
381	La escoba
382	El murci칠lago
383	El jab칩n
384	La cuerda
385	El techo
386	El suceso
387	El hogar
388	El hueso
389	El esqueleto
390	El estado
391	El due침o
392	El cubo
393	El cubo (geometr칤a)
394	La pintura
395	La mayor칤a
396	El actor
397	La actriz
398	El piloto
399	El rascacielos
400	El borde
401	La belleza
402	Desconocido
403	El hecho
404	La carretera
405	El carril
406	La acera
407	La almac칠n
408	El banquito
409	El cable
410	El emprendedor
411	La estufa
412	El asiento
413	La silla
414	El coj칤n
415	La almohada
416	La hierba
417	El c칠sped
418	Los guantes
419	El edred칩n
420	La actividad
421	La f칤sica
422	El boniato
423	La cosecha
424	La cama de matrimonio
425	La ubicaci칩n
426	El taller
427	El paraje
428	La roca
429	El excursionista
430	El tama침o
431	El terremoto
432	El oleaje
433	La subida
434	La sequia
435	El presupuesto
436	El patrimonio
437	La huelga
438	La temporada
439	La escalera
440	El pepino
441	La palmera
442	El discurso
443	El cementerio
444	El cementerio
445	El vestibulo
446	El vestibulo
447	La telara침a
448	La tela
449	El disfraz
450	El ganador / la ganadora
451	El maquillaje
452	La prisi칩n
453	La selva
454	El rumbo
455	La encuesta
456	La calefacc칤on
457	La mochila
458	El tomillo
459	El gesto
460	El ser humano
461	El local
462	El sabor
463	El espect치culo
464	La masa
465	El horno
466	La ventaja
467	El ascenscor
468	El aseo
469	El rompecorazones
470	El sat칠lite
471	El cohete
472	La tripulante
473	El objetivo
474	La base
475	La superficie
476	La actitud
477	El incentivo
478	Los cuentos de hadas
479	La hada
480	Los desechos
481	La pena
482	El perfil
483	El sobre
484	El empleado / la empleada
485	La embajada
486	El / la embajador(a)
487	El reto
488	El dilema
489	El grado (e.g. 14 grados)
490	La apariencia
491	El farol
492	La vuelta
493	El vuelo
494	El volante
495	El golpe de estado
496	El hallazgo
497	El descubrimiento
498	La cobertura
499	La muestra
500	El ladr칩n
501	La apuesta
502	El pa침al
503	El pedazo
504	La levadura
505	Energ칤a e칩lica
506	La hoja de ruta
507	El planeta
508	La alfombra
509	La astilla
510	La campana
511	El timbre
512	El agujero
513	La rueda
514	Las muletas
515	El enchufe
516	El tobillo
517	La pie
518	El rodillo
519	La cadera
520	La espalda (parte del cuerpo)
521	El brazo
522	La pierna
524	El mano
525	El dedo
526	La cuella
527	Los ojos
528	Las orellas
529	La nariz
530	La u침a
531	Los zapatos
532	La chaqueta
533	Los calcetines
534	El estr칠s
545	La vajilla
546	La manzana
547	La pi침a
548	El lim칩n
549	La mariposa
550	La b칠tula
551	El pi침o
552	La hoja
553	El saltamontes
554	El arbusto
555	El suelo
557	La oruga
558	El abejorro
559	El pajaro
560	El mam칤fero
561	El lagarto
562	El insecto
563	El 치rbol
564	El bosque
565	El lago
566	La monta침a
567	La aguila
568	El halc칩n
569	El ave de rapi침a
570	La vista
571	El paisaje
572	El pueblo
573	El roble
574	La lluvia
575	El arcoiris
577	La colina
578	El r칤o
579	El arroyo
580	La abeja
581	La oveja
582	La vaca
583	El burro
584	El cerdo
585	El perro
594	El cient칤fico
595	El inventor
596	El programador
597	El retraso
598	La cuenta atr치s
599	El amanecer
600	El atardecer
601	La lona
602	El taladro (herramienta)
603	El martillo
604	Los clavos (es decir, puntas de metal)
605	Las tornillas
607	El alicate
609	La cuchara
610	El tenedor
611	La herramienta
612	La lupa
613	El nudo
614	El tornillo
615	La cinta
616	El serrucho
617	El taladro
618	El martillo
619	El alicate
661	Ganar
662	Costar
663	Invertir
664	Inventar
665	Dise침ar
666	Programar
667	Herir
668	Oir
669	Caminar
670	Correr
677	Reir
678	Acampar
679	Calentar
680	Quejarse de algo
681	Caber
682	Adivinar
683	Barajar
684	Pesar
685	Servir
686	Guardar
687	Sostenir
688	Averiguar
689	Mentir
690	Colgar
691	Pegar
692	Golpear
693	Romper
694	Molar
695	Crecer
696	Proponer
697	Sugerir
698	Lanzar
699	Ahorrar
700	Oler
701	Quemar
702	Extender
703	Disfrazarse
704	Charlar
705	Convertirse en ...
706	Odiar
707	Montar
708	Organizar
709	Vender
710	Da침ar
711	Reparar
712	Arriesgar
713	Realizar
714	Sentarse
715	Cuidar
716	Cosechar
717	Ofrecer
718	Ubicarse
719	Entrar
720	Surgir
721	Sobrevivir
722	Aliviar
723	Pelear
724	Poseer
725	Devolver
726	Acercar
727	Ganar
728	Apoyar
729	Sembrar
730	Aconsejar
731	Impedir
732	Aplastar
733	Meter
734	Desarollar
735	Convencir
736	Madrugar
737	Pisar
738	Despegar
739	Tripular
740	Establecer
741	Crear
742	Traicionar
743	Mirar fijamente
744	Construir
745	Merecer
746	Coquetear
747	Rebanar
748	Cortar
749	Desafiar
750	Forzar
751	Borrar
752	Quitar
753	Hacer frente a ...
754	Llevar a cabo
755	Destacar
756	Rimar
757	Empujar
758	Tirar
759	Hornear
760	Medir
761	Alcanzar
762	Descubrir
763	Cubrir
764	Superar
765	Pertenecer a ...
766	Predecir
767	Robar
768	Aportar
769	Producir
770	Reforzar
771	O칤r
772	Aumentar
773	Cagar
774	Hacer senderismo
775	La ara침a
776	El gusano
777	El grillo
778	La jaula
